Movie Name,Director(s),Principal Cast(s),Cast(s)
A Prophet,Jacques Audiard,Tahar Rahim,"Adel Bencherif, Antoine Basler, Foued Nassah, Frédéric Graziani, Gilles Cohen, Hichem Yacoubi, Jean-Emmanuel Pagni, Jean-Philippe Ricci, Leïla Bekhti, Niels Arestrup, Pierre Leccia, Rabah Loucif, Reda Kateb, Slimane Dazi"
Hard to Be a God,Aleksei German,,"Aleksandr Chutko, Aleksandr Ilin, Algimantas Maceina, Dmitriy Vladimirov, Evgeniy Gerchakov, Igor Volkov, Juris Laucinsh, Laura Lauri, Leonid Yarmolnik, Natalya Moteva, Oleg Botin, Pyotr Merkurev, Remigijus Bilinskas, Yuriy Tsurilo"
Almost Famous,Cameron Crowe,Billy Crudup,"Anna Paquin, Fairuza Balk, Frances McDormand, Jason Lee, Jimmy Fallon, John Fedevich, Kate Hudson, Liz Stauber, Mark Kozelek, Michael Angarano, Noah Taylor, Patrick Fugit, Philip Seymour Hoffman, Zooey Deschanel"
Paths of Glory,Stanley Kubrick,"Kirk Douglas, Ralph Meeker","Adolphe Menjou, Bert Freed, Christiane Kubrick, Emile Meyer, Fred Bell, George Macready, Jerry Hausner, Joe Turkel, Kem Dibbs, Peter Capell, Richard Anderson, Timothy Carey, Wayne Morris"
Cold War,Pawel Pawlikowski,"Adam Ferency, Adam Szyszkowski, Adam Woronowicz, Agata Kulesza, Borys Szyc, Cédric Kahn, Drazen Sivak, Giorgio Rayzacher, Jeanne Balibar, Joanna Kulig, Slavko Sobin, Tomasz Kot","Adam Szyszkowski, Aleksandra Kacprzak, Aloïse Sauvage, Anna Zagórska, Izabela Andrzejak, Martin Budny, Philip Lenkowsky, Tomasz Markiewicz"
Big Men,Rachel Boynton,,
American Splendor,"Robert Pulcini, Shari Springer Berman","Harvey Pekar, Paul Giamatti, Shari Springer Berman","Barbara Brown, Cameron Carter, Chris Ambrose, Daniel Tay, Danny Hoch, Earl Billings, James Urbaniak, Joey Krajcar, Josh Hutcherson, Larry John Meyers, Mary Faktor, Vivienne Benesch"
Hannah and Her Sisters,Woody Allen,"Barbara Hershey, Dianne Wiest, Mia Farrow, Michael Caine, Woody Allen","Carrie Fisher, Christian Clemenson, J.T. Walsh, John Turturro, Julia Louis-Dreyfus, Julie Kavner, Lewis Black, Lloyd Nolan, Maureen O'Sullivan, Max von Sydow"
The Circus,Charles Chaplin,"Al Ernest Garcia, Albert Austin, Charles Chaplin, George Davis, Harry Crocker, Henry Bergman, John Rand, Merna Kennedy, Steve Murphy, Tiny Sandford","Chester A. Bachman, Eugene Barry, Heinie Conklin, Jack Bernard, Stanley Blystone"
The Tale,Jennifer Fox,"Chelsea Alden, Common, Elizabeth Debicki, Ellen Burstyn, Frances Conroy, Isabella Amara, Isabelle Nélisse, Jason Ritter, John Heard, Laura Allen, Laura Dern","Emily Sandifer, Gretchen Koerner, Isabella Amara, Isabelle Nélisse, Jaqueline Fleming, Jessica Sarah Flaum, Madison David, Matthew Rauch, Noah Lomax, Thom Bishops, Tina Parker"
Gosford Park,Robert Altman,"Maggie Smith, Ryan Phillippe","Bob Balaban, Camilla Rutherford, Charles Dance, Claudie Blakley, Geraldine Somerville, James Wilby, Jeremy Northam, Kristin Scott Thomas, Laurence Fox, Michael Gambon, Natasha Wightman, Tom Hollander, Trent Ford"
Dirty Harry,Don Siegel,"Andrew Robinson, Clint Eastwood, Harry Guardino, John Larch, John Mitchum, John Vernon, Lyn Edgington, Mae Mercer, Reni Santoni, Ruth Kobart","James Nolan, Josef Sommer, Maurice Argent, William Paterson, Woodrow Parfrey"
The Fits,Anna Rose Holmer,Royalty Hightower,"Alexis Neblett, Antonio A.B. Grant Jr., Da'Sean Minor, Inayah Rodgers, Lauren Gibson, Makyla Burnam, Royalty Hightower"
Small Axe: Mangrove,Steve McQueen,"Gary Beadle, Gershwyn Eustache Jnr, Jay Simpson, Jodhi May, Joshua Viner, Letitia Wright, Malachi Kirby, Rochenda Sandall, Sam Spruell, Shaun Parkes","James Hillier, Jon Prophet, Karl Farrer, Michelle Greenidge, Robert Jarvis"
Mad Max: Fury Road,George Miller,"Charlize Theron, John Howard, Nathan Jones, Nicholas Hoult, Riley Keough, Tom Hardy, Zoë Kravitz","Abbey Lee, Angus Sampson, Charlize Theron, Coco Jack Gillies, Courtney Eaton, Debra Ades, Hugh Keays-Byrne, Iota, John Howard, Josh Helman, Megan Gale, Mel Gibson, Melissa Jaffer, Nathan Jones, Nicholas Hoult, Richard Carter, Richard Norton, Riley Keough, Rosie Huntington-Whiteley, Tom Hardy, Zoë Kravitz"
United 93,Paul Greengrass,"David Alan Basche, Liza Colón-Zayas","Christian Clemenson, Denny Dillon, Gary Commock, J.J. Johnson, Lorna Dallas, Nancy McDoniel, Opal Alladin, Polly Adams, Ray Charleson, Richard Bekins, Starla Benford, Susan Blommaert, Trish Gates"
Capturing the Friedmans,Andrew Jarecki,"Arnold Friedman, David Friedman, Elaine Friedman, Jesse Friedman","Abbey Boklan, Anthony Sgeugloi, Chuck Scarborough, Frances Galasso, Howard Friedman, John McDermott, Joseph Onorato, Judd Maltin, Ron Georgalis, Scott Banks, Seth Friedman"
The Truman Show,Peter Weir,Jim Carrey,"Angel Schmiedt, Blair Slater, Brian Delate, Don Taylor, Fritz Dominique, Heidi Schanz, Holland Taylor, Judy Clayton, Laura Linney, Natascha McElhone, Noah Emmerich, Peter Krause, Ron Taylor, Ted Raymond"
American Hustle,David O. Russell,"Alessandro Nivola, Amy Adams, Bradley Cooper, Christian Bale, Jennifer Lawrence, Jeremy Renner, Louis C.K., Robert De Niro","Adrian Martinez, Alessandro Nivola, Amy Adams, Anthony Zerbe, Bo Cleary, Bradley Cooper, Christian Bale, Christy Scott Cashman, Colleen Camp, David Boston, Dawn Olivieri, Elisabeth Röhm, Erica McDermott, Jack Huston, Jeremy Renner, Kenn Medeiros, Louis C.K., Matthew Russell, Melissa McMeekin, Michael Peña, Paul Herman, Robert De Niro, Saïd Taghmaoui, Shea Whigham, Thomas Matthews"
Paterson,Jim Jarmusch,"Adam Driver, Golshifteh Farahani","Adam Driver, Barry Shabaka Henley, Brian McCarthy, Chasten Harmon, Dominic Liriano, Frank Harts, Golshifteh Farahani, Helen-Jean Arthur, Jaden Michael, Jared Gilman, Joan Kendall, Johnnie Mae, Kacey Cockett, Kara Hayward, Luis Da Silva Jr., Method Man, Nellie, Owen Asztalos, Rizwan Manji, Sterling Jerins, Trevor Parham, Troy T. Parham, William Jackson Harper"
Star Wars: Episode IV - A New Hope,George Lucas,"Carrie Fisher, Harrison Ford, Mark Hamill","Alec Guinness, Alex McCrindle, Anthony Daniels, David Prowse, Eddie Byrne, Jack Purvis, James Earl Jones, Kenny Baker, Peter Cushing, Peter Mayhew, Phil Brown, Shelagh Fraser"
Persepolis,"Marjane Satrapi, Vincent Paronnaud","Catherine Deneuve, Chiara Mastroianni, Gena Rowlands","Adriana Anderson, Amethyste Frezignac, Arié Elmaleh, Danielle Darrieux, François Jerosme, Gabrielle Lopes Benites, Jean-François Gallotte, Lexie Kendrick, Mathias Mlekuz, Paul Bandey, Robert Barr, Sean Penn, Simon Abkarian, Sophie Arthuys, Stéphane Foenkinos, Tilly Mandelbrot"
The Age of Innocence,Martin Scorsese,"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder","Alec McCowen, Alexis Smith, Geraldine Chaplin, Joanne Woodward, Jonathan Pryce, Mary Beth Hurt, Michael Gough, Miriam Margolyes, Richard E. Grant, Robert Sean Leonard, Siân Phillips, Stuart Wilson"
Minding the Gap,Bing Liu,"Bing Liu, Kiere Johnson, Zack Mulligan",
The Best of Youth,Marco Tullio Giordana,"Alessio Boni, Jasmine Trinca, Luigi Lo Cascio","Adriana Asti, Andrea Tidona, Claudio Gioè, Fabrizio Gifuni, Giovanni Scifoni, Lidia Vitale, Mario Schiano, Maya Sansa, Michele Melega, Paolo Bonanni, Sonia Bergamasco, Valentina Carnelutti"
The Overnighters,Jesse Moss,Jay Reinke,"Jay Reinke, Keegan Edwards"
The Lives of Others,Florian Henckel von Donnersmarck,"Martina Gedeck, Sebastian Koch, Ulrich Mühe","Bastian Trost, Charly Hübner, Hans-Uwe Bauer, Herbert Knaup, Marie Gruber, Martin Brambach, Matthias Brenner, Thomas Thieme, Ulrich Tukur, Volker Michalowski, Volkmar Kleinert, Werner Daehn"
Two-Lane Blacktop,Monte Hellman,"Bill Keller, David Drake, Dennis Wilson, Harry Dean Stanton, Jaclyn Hellman, James Taylor, Laurie Bird, Richard Ruth, Rudy Wurlitzer, Warren Oates","Alan Vint, Charles Moore, Don Samuels, Tom Green, W.H. Harrison"
House of Flying Daggers,Yimou Zhang,"Andy Lau, Takeshi Kaneshiro, Ziyi Zhang","Dandan Song, Dong Liu, Hongfei Zhao, Hongwei Zhao, Jiusheng Wang, Jun Guo, Liping Tian, Qi Zi, Shu Zhang, Xuedong Qu, Yongxin Wang, Zhengyong Zhang"
63 Up,Michael Apted,"Andrew Brackfield, Bruce Balden, Charles Furneaux, Jacqueline Bassett, John Brisby, Lynn Johnson, Neil Hughes, Nicholas Hitchon, Peter Davies, Susan Sullivan, Suzanne Dewey, Tony Walker","Andrew Brackfield, Jacqueline Bassett, John Brisby, Neil Hughes, Paul Kligerman, Peter Davies, Susan Sullivan, Symon Basterfield"
Treasure Island,Byron Haskin,"Basil Sydney, Bobby Driscoll, Denis O'Dea, Finlay Currie, Geoffrey Keen, Geoffrey Wilkinson, John Laurie, Ralph Truman, Robert Newton, Walter Fitzgerald","Andrew Blackett, David Davies, Francis de Wolff, John Gregson, William Devlin"
Lost in Translation,Sofia Coppola,"Bill Murray, Giovanni Ribisi, Scarlett Johansson","Akiko Takeshita, Akira Yamaguchi, Catherine Lambert, Diamond Yukai, François du Bois, Gregory Pekar, Kazuko Shibata, Kazuyoshi Minamimagoe, Richard Allen, Ryuichiro Baba, Take, Tim Leffman"
Blue Is the Warmest Color,Abdel Kechiche,"Ad, Alma Jodorowsky, Anne Loiret, Aurélien Recoing, Benjamin Siksou, Beno, Catherine Salée, Jeremie Laheurte, Léa Seydoux, Mona Walravens, Salim Kechiouche, Sandor Funtek","Ad, Alma Jodorowsky, Anne Loiret, Aurelie Lemanceau, Aurélien Recoing, Baya Rehaz, Benjamin Siksou, Beno, Catherine Salée, Fanny Maurin, Jeremie Laheurte, Karim Saidi, Léa Seydoux, Maelys Cabezon, Mona Walravens, Salim Kechiouche, Samir Bella, Sandor Funtek"
Searching for Bobby Fischer,Steven Zaillian,"Ben Kingsley, David Paymer, Hal Scardino, Joan Allen, Joe Mantegna, Laurence Fishburne, Max Pomeranc, Michael Nirenberg, Robert Stephens, Vasek Simek","Anthony Heald, Dan Hedaya, Laura Linney, Steven Randazzo, William H. Macy"
Assault on Precinct 13,John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer","Alan Koss, Charles Cyphers, Frank Doubleday, Gilbert De la Pena, Henry Brandon, John J. Fox, Kim Richards, Marc Ross, Martin West, Nancy Kyes, Peter Bruni, Tony Burton"
Man on Wire,James Marsh,Philippe Petit,"Aaron Haskell, Alan Welner, Annie Allix, Ardis Campbell, Barry Greenhouse, David Demato, David Forman, Guy F. Tozzoli, Jean François Heckel, Jean-Louis Blondeau, Jim Moore, Mark Lewis, Paul McGill, Shawn Dempewolff-Barrett"
For Sama,"Edward Watts, Waad Al-Khateab","Hamza Al-Khateab, Sama Al-Khateab, Waad Al-Khateab",
Force of Evil,Abraham Polonsky,"Barry Kelley, Beatrice Pearson, Howland Chamberlain, John Garfield, Marie Windsor, Paul Fix, Paul McVey, Roy Roberts, Stanley Prager, Thomas Gomez","Georgia Backus, Jessie Arnold, Margaret Bert, Murray Alper, Sam Ash"
Still Walking,Hirokazu Koreeda,,"Haruko Kato, Hiroshi Abe, Hotaru Nomoto, Kazuya Takahashi, Kirin Kiki, Ryôga Hayashi, Shohei Tanaka, Susumu Terajima, Yoshio Harada, You, Yui Natsukawa"
Gangs of Wasseypur,Anurag Kashyap,,"Aditya Kumar, Huma Qureshi, Jaideep Ahlawat, Jameel Khan, Manoj Bajpai, Nowaz, Piyush Mishra, Raj Kumar Yadav, Richa Chadda, Sankalp Acharekar, Satyakam Anand, Tigmanshu Dhulia, Vineet Singh, Vipin Sharma, Zeishan Quadri"
The Last Detail,Hal Ashby,"Jack Nicholson, Randy Quaid","Carol Kane, Clifton James, Derek McGrath, Don McGovern, Gerry Salsberg, Jim Henshaw, Kathleen Miller, Luana Anders, Michael Chapman, Michael Moriarty, Nancy Allen, Otis Young, Pat Hamilton"
When the Levees Broke: A Requiem in Four Acts,Spike Lee,"Darleen Asevedo, Gralen Bryant Banks, Harry Belafonte, Jay Asevedo, John Barry, Lee Arnold, Robert Bea, Shelton Shakespear Alexander, Terence Blanchard, Wilhelmina Blanchard","Douglas Brinkley, Joseph Bruno, Karen Carter, Kathleen Blanco, Louis Cataldie"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,"Ken Davitian, Sacha Baron Cohen","Alan Keyes, Bob Barr, Jean-Pierre Parent, Luenell, Mitchell Falk, Pamela Anderson"
Minari,Lee Isaac Chung,"Alan S. Kim, Darryl Cox, Eric Starkey, Esther Moon, Noel Cho, Scott Haze, Steven Yeun, Will Patton, Ye-ri Han, Yeo-Jong Yun","Ben Hall, Jacob M Wade, James Carroll, Jenny Phagan, Tina Parker"
Barry Lyndon,Stanley Kubrick,"Marisa Berenson, Ryan O'Neal","André Morell, Arthur O'Sullivan, Diana Körner, Frank Middlemass, Gay Hamilton, Godfrey Quigley, Hardy Krüger, Leonard Rossiter, Marie Kean, Murray Melvin, Patrick Magee, Philip Stone, Steven Berkoff"
The Farewell,Lulu Wang,"Aoi Mizuhara, Awkwafina, Becca Khalil, Diana Lin, Diane Dehn, Gil Perez-Abraham, Han Chen, Hong Lin, Hong Lu, Ines Laimins, Jim Liu, Shuzhen Zhou, Tzi Ma, X Mayo, Yang Xuejian, Yongbo Jiang, Zhao Shuzhen","Aoi Mizuhara, Becca Khalil, Diane Dehn, Han Chen, Hong Lu, Hongli Liu, Ines Laimins, Jing Zhang, Jinhang Liu, Shimin Zhang, X Mayo, Xiang Li, Yongbo Jiang, Zhao Shuzhen"
Elle,Paul Verhoeven,"Anne Consigny, Charles Berling, Isabelle Huppert, Laurent Lafitte","Alice Isaaz, Anne Consigny, Arthur Mazet, Charles Berling, Christian Berkel, Hugo Conzelmann, Isabelle Huppert, Jean Douchet, Jean-Noël Martin, Jonas Bloquet, Judith Magre, Laurent Lafitte, Lucas Prisor, Nicolas Beaucaire, Olivia Gotanègre, Raphaël Lenglet, Stéphane Bak, Vimala Pons, Virginie Efira"
The Tale of The Princess Kaguya,Isao Takahata,"Chloë Grace Moretz, James Caan, James Marsden, Mary Steenburgen","Aki Asakura, Beau Bridges, Brian Leone, Caitlyn Leone, Daniel Dae Kim, Darren Criss, Dean Cain, Emily Bridges, George Segal, Hikaru Ijûin, Hynden Walch, Isao Hashizume, James Caan, John Cho, Kengo Kôra, Lucy Liu, Michael Leone, Oliver Platt, Takaya Kamikawa, Takeo Chii, Yukiji Asaoka"
Uncertain,"Anna Sandilands, Ewan McNicol",,
Captain Blood,Michael Curtiz,"Basil Rathbone, Donald Meek, Errol Flynn, Guy Kibbee, Henry Stephenson, Hobart Cavanaugh, Lionel Atwill, Olivia de Havilland, Robert Barrat, Ross Alexander","David Torrence, Forrester Harvey, Frank McGlynn Sr., Holmes Herbert, Jessie Ralph"
"Two Days, One Night","Jean-Pierre Dardenne, Luc Dardenne","Alain Eloy, Batiste Sornin, Catherine Salée, Fabrizio Rongione, Lara Persain, Marion Cotillard, Pili Groyne, Simon Caudry","Alain Eloy, Anette Niro, Batiste Sornin, Catherine Salée, Christelle Cornil, Christelle Delbrouck, Fabienne Sciascia, Fabrizio Rongione, Hassaba Halibi, Hicham Slaoui, Lara Persain, Laurent Caron, Marion Cotillard, Myriem Akeddiou, Olivier Gourmet, Philippe Jeusette, Pili Groyne, Rania Mellouli, Simon Caudry, Timur Magomedgadzhiev, Yohan Zimmer"
National Gallery,Frederick Wiseman,,
Eighth Grade,Bo Burnham,"Catherine Oliviere, Daniel Zolghadri, Deborah Unger, Elsie Fisher, Emily Robinson, Frank Deal, Fred Hechinger, Gerald W. Jones, Greg Crowe, Imani Lewis, Jake Ryan, Josh Hamilton, Josh Hamilton, Luke Prael, Marguerite Stimpson, Missy Yager, Natalie Carter, Nora Mullins","Castor Feinberg, Catherine Oliviere, Deborah Unger, Faith Kelly, Frank Deal, Fred Hechinger, Gerald W. Jones, Greg Crowe, Jalesia Martinez, Kaileen Quinones, Kevin R. Free, Luke Prael, Marguerite Stimpson, Missy Yager, Natalie Carter, Shacha Temirov, Thomas J O'Reilly"
A Star Is Born,George Cukor,"Amanda Blake, Charles Bickford, Hazel Shermet, Irving Bacon, Jack Carson, James Brown, James Mason, Judy Garland, Lucy Marlow, Tommy Noonan","David Armstrong, Laurindo Almeida, Leon Alton, Phil Arnold, Rudolph Anders"
No End in Sight,Charles Ferguson,,"Ali Fadhil, Campbell Scott, Colin Powell, Dick Cheney, Donald Rumsfeld, Feisal Istrabadi, George Tenet, Gerald Burke, James Bamford, Marc Garlasco, Omar Fekeiki, Paul Hughes, Paul Wolfowitz, Robert Hutchings, Samantha Power"
It's a Wonderful Life,Frank Capra,"Donna Reed, James Stewart","Beulah Bondi, Frank Albertson, Frank Faylen, Gloria Grahame, H.B. Warner, Henry Travers, Lionel Barrymore, Mary Treen, Samuel S. Hinds, Thomas Mitchell, Todd Karns, Virginia Patton, Ward Bond"
The Madness of King George,Nicholas Hytner,"Amanda Donohoe, Cassandra Halliburton, Charlotte Curley, Eve Camden, Helen Mirren, Joanna Hall, Peter Bride-Kirk, Rupert Graves, Thomas Copeland","David Leon, Julian Rhind-Tutt, Martin Julier, Natalie Palys, Rupert Everett, Russell Martin"
Phoenix,Christian Petzold,"Felix Römer, Imogen Kogge, Michael Maertens, Nina Hoss, Nina Kunzendorf, Ronald Zehrfeld, Trystan Pütter, Uwe Preuss","Claudia Geisler, Daniela Holtz, Eva Bay, Felix Römer, Imogen Kogge, Jeff Burrell, Kirsten Block, Max Hopp, Megan Gay, Michael Maertens, Nikola Kastner, Nina Hoss, Nina Kunzendorf, Ronald Zehrfeld, Sofia Exss, Trystan Pütter, Uwe Preuss, Valerie Koch"
Goodbye Solo,Ramin Bahrani,"Red West, Souleymane Sy Savane","Alexandra Dimopoulos, Carmen Leyva, Chris Greene, Diana Franco Galindo, Evelia Garcia, Jamill 'Peaches' Fowler, Jim Babel, Lane 'Roc' Williams, Lasheka Brown, Mamadou Lam, Neill Fleeman, Peter N. Anyieth, Sarah S. Brooks"
Western,"Bill Ross IV, Turner Ross",,"Brylyn Wall, Chad Foster, Martín Wall"
Stop Making Sense,Jonathan Demme,David Byrne,"Alex Weir, Bernie Worrell, Chris Frantz, Ednah Holt, Jerry Harrison, Lynn Mabry, Steven Scales, Tina Weymouth"
Deep Red,Dario Argento,"Aldo Bonamano, Clara Calamai, Daria Nicolodi, David Hemmings, Eros Pagni, Gabriele Lavia, Giuliana Calandra, Glauco Mauri, Macha Méril, Piero Mazzinghi","Dante Fioretti, Geraldine Hooper, Jacopo Mariani, Liana Del Balzo, Vittorio Fanfoni"
Downhill Racer,Michael Ritchie,"Camilla Sparv, Dabney Coleman, Gene Hackman, Jerry Dexter, Jim McMullan, Karl Michael Vogler, Kathleen Crowley, Kenneth Kirk, Oren Stevens, Robert Redford","Carole Carle, Joe Jay Jalbert, Rip McManus, Tom J. Kirk, Walter Stroud"
Alien,Ridley Scott,"John Hurt, Sigourney Weaver, Tom Skerritt","Bolaji Badejo, Eddie Powell, Harry Dean Stanton, Helen Horton, Ian Holm, Veronica Cartwright, Yaphet Kotto"
Columbus,Kogonada,"Alphaeus Green Jr., Caitlin Ewald, Erin Allegretti, Haley Lu Richardson, Jim Dougherty, John Cho, Michelle Forbes, Parker Posey, Rory Culkin, Wynn Reichert","Alphaeus Green Jr., Caitlin Ewald, Erin Allegretti, Haley Lu Richardson, Jim Dougherty, John Cho, Lindsey Shope, Michelle Forbes, Parker Posey, Reen Vogel, Rory Culkin, Rosalyn R. Ross, Shani Salyers Stiles, William Willet, Wynn Reichert"
First Cow,Kelly Reichardt,"Alia Shawkat, Clayton Nemrow, Dylan Smith, Ewen Bremner, Gary Farmer, Jeb Berrier, John Keating, John Magaro, Lily Gladstone, Manuel Rodriguez, Orion Lee, Patrick D. Green, René Auberjonois, Scott Shepherd, Ted Rooney, Toby Jones, Todd A. Robinson","Clayton Nemrow, Dylan Smith, Jared Kasowski, Jeb Berrier, John Keating, Kevin Michael Moore, Manuel Rodriguez, Mitchell Saddleback, Orion Lee, Patrick D. Green, Phelan Davis, T. Dan Hopkins, Todd A. Robinson"
Night of the Living Dead,George A. Romero,"Duane Jones, Judith O'Dea","A.C. McDonald, Bill Cardille, Charles Craig, Frank Doak, George Kosana, Judith Ridley, Karl Hardman, Keith Wayne, Kyra Schon, Marilyn Eastman, Mark Ricci, S. William Hinzman, Samuel R. Solito"
The Artist,Michel Hazanavicius,,"Basil Hoffman, Beau Nelson, Ben Kurland, Bérénice Bejo, Beth Grant, Bitsie Tulloch, James Cromwell, Jean Dujardin, Jen Lilley, Joel Murray, John Goodman, Missi Pyle, Patrick Mapel, Penelope Ann Miller, Stuart Pankin"
Yankee Doodle Dandy,Michael Curtiz,"Frances Langford, George Barbier, George Tobias, Irene Manning, James Cagney, Jeanne Cagney, Joan Leslie, Richard Whorf, Rosemary DeCamp, Walter Huston","Douglas Croft, Eddie Foy Jr., Minor Watson, S.Z. Sakall, Walter Catlett"
The Human Voice,Pedro Almodóvar,Tilda Swinton,
Raging Bull,Martin Scorsese,"Cathy Moriarty, Joe Pesci, Robert De Niro","Bill Hanrahan, Charles Scorsese, Don Dunphy, Frank Adonis, Frank Topham, Frank Vincent, Joseph Bono, Lori Anne Flax, Mario Gallo, Nicholas Colasanto, Rita Bennett, Theresa Saldana"
Eternal Sunshine of the Spotless Mind,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson","Amir Ali Said, Brian Price, David Cross, Debbon Ayer, Elijah Wood, Gerry Robert Byrne, Jane Adams, Kirsten Dunst, Mark Ruffalo, Paulie Litt, Ryan Whitney, Thomas Jay Ryan"
The Piano,Jane Campion,"Harvey Keitel, Holly Hunter, Sam Neill","Anna Paquin, Bruce Allpress, Carla Rupuha, Cliff Curtis, Geneviève Lemon, Ian Mune, Kerry Walker, Mahina Tunui, Pete Smith, Peter Dennett, Te Whatanui Skipwith, Tungia Baker"
Of Mice and Men,Lewis Milestone,"Betty Field, Bob Steele, Burgess Meredith, Charles Bickford, Granville Bates, Leigh Whipper, Lon Chaney Jr., Noah Beery Jr., Oscar O'Shea, Roman Bohnen","Baldwin Cooke, Helen Lynd, John Beach, Silver Tip Baker, Whitney De Rahm"
Dead Souls,Bing Wang,,
Zama,Lucrecia Martel,"Carlos Defeo, Daniel Giménez Cacho, Daniel Veronese, Jorge Román, Juan Minujín, Lola Dueñas, Mariana Nunes, Matheus Nachtergaele, Nahuel Cano, Rafael Spregelburd",Camila Sosa
Dick Johnson Is Dead,Kirsten Johnson,"Ana Hoffman, Dick Johnson, Kirsten Johnson, Vasthy Mompoint",
High Noon,Fred Zinnemann,"Eve McVeagh, Gary Cooper, Grace Kelly, Harry Morgan, Ian Macdonald, Katy Jurado, Lloyd Bridges, Lon Chaney Jr., Otto Kruger, Thomas Mitchell","Eve McVeagh, Harry Morgan, Harry Shannon, Ian Macdonald, Katy Jurado, Lee Van Cleef, Lloyd Bridges, Lon Chaney Jr., Morgan Farley, Otto Kruger, Robert J. Wilke, Sheb Wooley, Thomas Mitchell"
Rebel Without a Cause,Nicholas Ray,"Ann Doran, Corey Allen, Dennis Hopper, Edward Platt, James Dean, Jim Backus, Natalie Wood, Rochelle Hudson, Sal Mineo, William Hopper","Beverly Long, Ian Wolfe, Marietta Canty, Steffi Sidney, Virginia Brissac"
Letters from Iwo Jima,Clint Eastwood,Ken Watanabe,"Eijiro Ozaki, Hiroshi Watanabe, Kazunari Ninomiya, Luke Eberl, Nae, Nobumasa Sakagami, Ryo Kase, Shido Nakamura, Sonny Saito, Steve Santa Sekiyoshi, Takashi Yamaguchi, Takumi Bando, Tsuyoshi Ihara, Yoshi Ando, Yuki Matsuzaki"
The Seventh Continent (1989),Michael Haneke,"Birgit Doll, Dieter Berner, Elisabeth Rath, Georg Friedrich, Georges Kern, Leni Tanzer, Meat Loaf, Robert Dietl, Silvia Fenz, Udo Samel",Jennifer Rush
A Woman Under the Influence,John Cassavetes,"Christina Grisanti, Fred Draper, Gena Rowlands, George Dunn, Katherine Cassavetes, Lady Rowlands, Mario Gallo, Matthew Cassel, Matthew Labyorteaux, Peter Falk","Angelo Grisanti, Charles Horvath, Eddie Shaw, James Joyce, John Finnegan"
Whiplash,Damien Chazelle,"J.K. Simmons, Melissa Benoist, Miles Teller, Paul Reiser","Adrian Burks, April Grace, Austin Stowell, C.J. Vana, Calvin C. Winbush, Charlie Ian, Chris Mulkey, Dakota Lupo, Damon Gupton, J.K. Simmons, Jayson Blair, Jesse Mitchell, Jocelyn Ayanna, Kavita Patil, Keenan Henson, Kofi Siriboe, Marcus Henderson, Max Kasch, Melissa Benoist, Michael D. Cohen, Miles Teller, Nate Lang, Paul Reiser, Rogelio Douglas Jr., Suanne Spoke, Tarik Lowe, Tian Wang, Tyler Kimball"
Once,John Carney,"Glen Hansard, Markéta Irglová","Alaistair Foley, Bill Hodnett, Danuse Ktrestova, Darren Healy, Geoff Minogue, Gerard Hendrick, Hugh Walsh, Krzysztos Tlotka, Mal Whyte, Marcella Plunkett, Niall Cleary, Tomek Glowacki, Wiltold Owski"
Foreign Correspondent,Alfred Hitchcock,"Joel McCrea, Laraine Day","Albert Bassermann, Charles Halton, Charles Wagenheim, Eddie Conrad, Edmund Gwenn, Eduardo Ciannelli, Frances Carson, George Sanders, Harry Davenport, Herbert Marshall, Ian Wolfe, Martin Kosleck, Robert Benchley"
The Arbor,Clio Barnard,,"Andrea Dunbar, Andrew Dunbar, Christine Bottomley, David Dunbar, George Costigan, Jimi Mistry, Jonathan Jaynes, Kate Rutter, Lorraine Dunbar, Matthew McNulty, Monica Dolan, Natalie Gavin, Neil Dudgeon, Pamela Dunbar, Robert Emms"
Long Day's Journey Into Night,Gan Bi,"Chun-hao Tuan, Feiyang Luo, Hong-Chi Lee, Jue Huang, Li Meng, Lixun Xie, Meihuizi Zeng, Sylvia Chang, Wei Tang, Yanmin Bi, Yongzhong Chen","Jian Jun Ding, Kailong Jiang, Ming Dao, Xi Qi, Zezhi Long"
Richard III,Laurence Olivier,"Cedric Hardwicke, Claire Bloom, John Gielgud, Laurence Olivier, Mary Kerridge, Nicholas Hannen, Pamela Brown, Paul Huson, Ralph Richardson, Stewart Allen","Andrew Cruickshank, Clive Morton, Norman Fisher, Russell Thorndike, Wallace Bosco"
Democrats,Camilla Nielsson,,Paul Mangwana
The Lion King,"Rob Minkoff, Roger Allers","James Earl Jones, Jeremy Irons, Matthew Broderick, Whoopi Goldberg","Cheech Marin, Ernie Sabella, Jim Cummings, Jonathan Taylor Thomas, Madge Sinclair, Moira Kelly, Nathan Lane, Niketa Calame, Robert Guillaume, Rowan Atkinson, Zoe Leader"
4 Little Girls,Spike Lee,"Chris McNair, Fred Shuttlesworth, Howell Raines, Maxine McNair, Wamo Reed Robertson, Wyatt Tee Walker","Alpha Robertson, Arthur Hanes Jr., Carole C. Smitherman, Carolyn Lee Brown, Dianne Braddock, Florence Terrell, Harold McNair, Helen Pegues, Queen Nunn"
